sn,date,branch,pizza_sold,price,quantity,time,time_range,sales_amount,pizza_exists
1,2015-12-11,Ibadan,Meatzaa,2000.0,5,08:00:01,Before 9:00am,10000.0,True
2,2015-12-14,Ikoyi,Extravaganza,2000.0,4,08:00:02,Before 9:00am,8000.0,True
3,2015-12-04,Lekki,BBQ Chicken,4000.0,5,08:00:04,Before 9:00am,20000.0,True
4,2015-12-14,Ikoyi,Extravaganza,2000.0,1,08:00:07,Before 9:00am,2000.0,True
5,2015-12-07,Gbagada,Meatzaa,2000.0,4,08:00:08,Before 9:00am,8000.0,True
6,2015-12-08,Surulere,Hot Veggie,4000.0,2,08:00:14,Before 9:00am,8000.0,True
7,2015-12-04,Ibadan,BBQ Philly Steak,4000.0,5,08:00:20,Before 9:00am,20000.0,True
8,2015-12-07,Ikoyi,Chicken Feast,2000.0,1,08:00:20,Before 9:00am,2000.0,True
9,2015-12-07,Gbagada,Meatzaa,2000.0,3,08:00:22,Before 9:00am,6000.0,True
10,2015-12-04,Ibadan,Chicken Suya,4000.0,5,08:00:25,Before 9:00am,20000.0,True
11,2015-12-12,Lekki,Chicken Legend,2000.0,5,08:00:26,Before 9:00am,10000.0,True
12,2015-12-09,Gbagada,BBQ Philly Steak,4000.0,4,08:00:27,Before 9:00am,16000.0,True
13,2015-12-15,Gbagada,Chicken Suya,4000.0,2,08:00:29,Before 9:00am,8000.0,True
14,2015-12-11,Ibadan,Chicken Feast,2000.0,5,08:00:33,Before 9:00am,10000.0,True
15,2015-12-05,Surulere,Chicken Feast,2000.0,4,08:00:33,Before 9:00am,8000.0,True
16,2015-12-07,Lekki,Beef Suya,3000.0,5,08:00:34,Before 9:00am,15000.0,True
17,2015-12-08,Gbagada,Chicken Feast,2000.0,5,08:00:35,Before 9:00am,10000.0,True
18,2015-12-14,Lekki,Hot Veggie,4000.0,5,08:00:35,Before 9:00am,20000.0,True
19,2015-12-11,Surulere,Meatzaa,2000.0,5,08:00:35,Before 9:00am,10000.0,True
20,2015-12-11,Ibadan,Meatzaa,2000.0,2,08:00:36,Before 9:00am,4000.0,True
21,2015-12-06,Lekki,Margarita,4000.0,3,08:00:37,Before 9:00am,12000.0,True
22,2015-12-14,Surulere,Italiano,3000.0,5,08:00:40,Before 9:00am,15000.0,True
23,2015-12-14,Gbagada,Hot Veggie,4000.0,2,08:00:45,Before 9:00am,8000.0,True
24,2015-12-08,Ikoyi,Pepperoni Suya,3000.0,3,08:00:45,Before 9:00am,9000.0,True
25,2015-12-09,Lekki,Veggie Supreme,3000.0,5,08:00:48,Before 9:00am,15000.0,True
26,2015-12-04,Ibadan,Hot Pepperoni Feast,4000.0,3,08:00:49,Before 9:00am,12000.0,True
27,2015-12-09,Ikoyi,Chicken Legend,2000.0,4,08:00:49,Before 9:00am,8000.0,True
28,2015-12-03,Ibadan,BBQ Philly Steak,4000.0,1,08:00:52,Before 9:00am,4000.0,True
29,2015-12-14,Ikoyi,Hot Pepperoni Feast,4000.0,2,08:00:56,Before 9:00am,8000.0,True
