sn,date,branch,pizza_sold,price,quantity,time,time_range
1,2015-12-11,Ibadan,Meatzaa,2000,5,08:00:01,Before 9:00am
2,2015-12-14,Ikoyi,Extravaganza,2000,4,08:00:02,Before 9:00am
3,2015-12-04,Lekki,BBQ Chicken,4000,5,08:00:04,Before 9:00am
4,2015-12-14,Ikoyi,Extravaganza,2000,1,08:00:07,Before 9:00am
5,2015-12-07,Gbagada,Meatzaa,2000,4,08:00:08,Before 9:00am
6,2015-12-08,Surulere,Hot Veggie,4000,2,08:00:14,Before 9:00am
7,2015-12-04,Ibadan,BBQ Philly Steak,4000,5,08:00:20,Before 9:00am
8,2015-12-07,Ikoyi,Chicken Feast,2000,1,08:00:20,Before 9:00am
9,2015-12-07,Gbagada,Meatzaa,2000,3,08:00:22,Before 9:00am
10,2015-12-04,Ibadan,Chicken Suya,4000,5,08:00:25,Before 9:00am
11,2015-12-12,Lekki,Chicken Legend,2000,5,08:00:26,Before 9:00am
12,2015-12-09,Gbagada,BBQ Philly Steak,4000,4,08:00:27,Before 9:00am
13,2015-12-15,Gbagada,Chicken Suya,4000,2,08:00:29,Before 9:00am
14,2015-12-11,Ibadan,Chicken Feast,2000,5,08:00:33,Before 9:00am
15,2015-12-05,Surulere,Chicken Feast,2000,4,08:00:33,Before 9:00am
16,2015-12-07,Lekki,Beef Suya,3000,5,08:00:34,Before 9:00am
17,2015-12-08,Gbagada,Chicken Feast,2000,5,08:00:35,Before 9:00am
18,2015-12-14,Lekki,Hot Veggie,4000,5,08:00:35,Before 9:00am
19,2015-12-11,Surulere,Meatzaa,2000,5,08:00:35,Before 9:00am
20,2015-12-11,Ibadan,Meatzaa,2000,2,08:00:36,Before 9:00am
21,2015-12-06,Lekki,Margarita,4000,3,08:00:37,Before 9:00am
22,2015-12-14,Surulere,Italiano,3000,5,08:00:40,Before 9:00am
23,2015-12-14,Gbagada,Hot Veggie,4000,2,08:00:45,Before 9:00am
24,2015-12-08,Ikoyi,Pepperoni Suya,3000,3,08:00:45,Before 9:00am
25,2015-12-09,Lekki,Veggie Supreme,3000,5,08:00:48,Before 9:00am
26,2015-12-04,Ibadan,Hot Pepperoni Feast,4000,3,08:00:49,Before 9:00am
27,2015-12-09,Ikoyi,Chicken Legend,2000,4,08:00:49,Before 9:00am
28,2015-12-03,Ibadan,BBQ Philly Steak,4000,1,08:00:52,Before 9:00am
29,2015-12-14,Ikoyi,Hot Pepperoni Feast,4000,2,08:00:56,Before 9:00am
30,2015-12-06,Lekki,Chicken Bali,2000,4,08:00:56,Before 9:00am
31,2015-12-03,Lekki,Chicken Feast,2000,3,08:00:57,Before 9:00am
32,2015-12-05,Ikoyi,Veggie Supreme,3000,2,08:00:57,Before 9:00am
33,2015-12-13,Gbagada,Extravaganza,2000,4,08:01:00,Before 9:00am
34,2015-12-13,Ibadan,Pepperoni Suya,3000,4,08:01:01,Before 9:00am
35,2015-12-04,Gbagada,Veggie Supreme,3000,2,08:01:02,Before 9:00am
36,2015-12-08,Ikoyi,Extravaganza,2000,2,08:01:08,Before 9:00am
37,2015-12-11,Lekki,Italiano,3000,2,08:01:14,Before 9:00am
38,2015-12-09,Lekki,BBQ Philly Steak,4000,2,08:01:16,Before 9:00am
39,2015-12-14,Ibadan,Pepperoni Feast,4000,5,08:01:16,Before 9:00am
40,2015-12-05,Lekki,Chicken Bali,2000,4,08:01:17,Before 9:00am
41,2015-12-05,Lekki,Pepperoni Suya,3000,2,08:01:18,Before 9:00am
42,2015-12-10,Gbagada,BBQ Philly Steak,4000,5,08:01:20,Before 9:00am
43,2015-12-12,Surulere,Chicken Bali,2000,3,08:01:21,Before 9:00am
44,2015-12-11,Gbagada,Italiano,3000,5,08:01:22,Before 9:00am
45,2015-12-10,Gbagada,BBQ Philly Steak,4000,4,08:01:26,Before 9:00am
46,2015-12-08,Lekki,Hot Pepperoni Feast,4000,5,08:01:28,Before 9:00am
47,2015-12-09,Lekki,Chicken Legend,2000,2,08:01:31,Before 9:00am
48,2015-12-07,Lekki,Chicken Bali,2000,2,08:01:32,Before 9:00am
49,2015-12-12,Lekki,BBQ Philly Steak,4000,1,08:01:34,Before 9:00am
50,2015-12-06,Surulere,BBQ Chicken,4000,4,08:01:34,Before 9:00am
51,2015-12-05,Ikoyi,Pepperoni Feast,4000,4,08:01:35,Before 9:00am
52,2015-12-12,Gbagada,BBQ Philly Steak,4000,1,08:01:36,Before 9:00am
53,2015-12-14,Ibadan,BBQ Philly Steak,4000,4,08:01:36,Before 9:00am
54,2015-12-14,Ibadan,Pepperoni Suya,3000,2,08:01:37,Before 9:00am
55,2015-12-08,Gbagada,Veggie Supreme,3000,5,08:01:37,Before 9:00am
56,2015-12-03,Surulere,Chicken Suya,4000,5,08:01:39,Before 9:00am
57,2015-12-05,Surulere,Margarita,4000,4,08:01:43,Before 9:00am
58,2015-12-13,Surulere,Chicken Bali,2000,5,08:01:44,Before 9:00am
59,2015-12-09,Gbagada,Meatzaa,2000,5,08:01:44,Before 9:00am
60,2015-12-09,Surulere,BBQ Philly Steak,4000,3,08:01:46,Before 9:00am
61,2015-12-11,Lekki,Pepperoni Suya,3000,5,08:01:48,Before 9:00am
62,2015-12-06,Gbagada,Chicken Feast,2000,5,08:01:49,Before 9:00am
63,2015-12-11,Gbagada,Chicken Feast,2000,4,08:01:52,Before 9:00am
64,2015-12-05,Gbagada,Chicken Suya,4000,2,08:01:54,Before 9:00am
65,2015-12-14,Ibadan,Chicken Legend,2000,3,08:01:55,Before 9:00am
66,2015-12-15,Ikoyi,Chicken Feast,2000,4,08:01:56,Before 9:00am
67,2015-12-10,Lekki,Chicken Bali,2000,1,08:02:03,Before 9:00am
68,2015-12-08,Ikoyi,Pepperoni Suya,3000,1,08:02:03,Before 9:00am
69,2015-12-14,Lekki,Pepperoni Feast,4000,3,08:02:04,Before 9:00am
70,2015-12-03,Ibadan,Beef Suya,3000,3,08:02:05,Before 9:00am
71,2015-12-03,Surulere,BBQ Chicken,4000,1,08:02:06,Before 9:00am
72,2015-12-10,Ikoyi,Pepperoni Feast,4000,3,08:02:10,Before 9:00am
73,2015-12-07,Ibadan,Pepperoni Feast,4000,5,08:02:13,Before 9:00am
74,2015-12-08,Ikoyi,BBQ Chicken,4000,2,08:02:13,Before 9:00am
75,2015-12-06,Gbagada,Extravaganza,2000,5,08:02:18,Before 9:00am
76,2015-12-09,Lekki,Chicken Legend,2000,1,08:02:18,Before 9:00am
77,2015-12-06,Ikoyi,Pepperoni Suya,3000,2,08:02:22,Before 9:00am
78,2015-12-13,Gbagada,Hot Veggie,4000,2,08:02:22,Before 9:00am
79,2015-12-07,Lekki,Extravaganza,2000,3,08:02:30,Before 9:00am
80,2015-12-04,Surulere,Chicken Suya,4000,3,08:02:31,Before 9:00am
81,2015-12-03,Ibadan,Pepperoni Feast,4000,5,08:02:35,Before 9:00am
82,2015-12-12,Ikoyi,Pepperoni Feast,4000,3,08:02:36,Before 9:00am
83,2015-12-04,Lekki,BBQ Chicken,4000,3,08:02:37,Before 9:00am
84,2015-12-08,Ibadan,BBQ Philly Steak,4000,4,08:02:38,Before 9:00am
85,2015-12-05,Lekki,Hot Veggie,4000,5,08:02:38,Before 9:00am
86,2015-12-13,Lekki,Chicken Bali,2000,1,08:02:42,Before 9:00am
87,2015-12-05,Ibadan,Beef Suya,3000,2,08:02:44,Before 9:00am
88,2015-12-04,Surulere,BBQ Philly Steak,4000,2,08:02:46,Before 9:00am
89,2015-12-07,Ikoyi,Veggie Supreme,3000,4,08:02:47,Before 9:00am
90,2015-12-09,Surulere,Chicken Suya,4000,1,08:02:47,Before 9:00am
91,2015-12-10,Ibadan,BBQ Chicken,4000,5,08:02:49,Before 9:00am
92,2015-12-07,Ikoyi,BBQ Philly Steak,4000,4,08:02:50,Before 9:00am
93,2015-12-14,Ibadan,Meatzaa,2000,5,08:02:50,Before 9:00am
94,2015-12-05,Gbagada,Hot Veggie,4000,5,08:02:55,Before 9:00am
95,2015-12-11,Ikoyi,Italiano,3000,2,08:03:00,Before 9:00am
96,2015-12-04,Ikoyi,BBQ Philly Steak,4000,3,08:03:01,Before 9:00am
97,2015-12-04,Surulere,Chicken Legend,2000,1,08:03:02,Before 9:00am
98,2015-12-14,Surulere,Hot Pepperoni Feast,4000,2,08:03:05,Before 9:00am
99,2015-12-05,Gbagada,Hot Pepperoni Feast,4000,4,08:03:05,Before 9:00am
100,2015-12-15,Ikoyi,BBQ Philly Steak,4000,4,08:03:09,Before 9:00am
101,2015-12-14,Lekki,Veggie Supreme,3000,3,08:03:10,Before 9:00am
102,2015-12-04,Surulere,Chicken Suya,4000,5,08:03:10,Before 9:00am
103,2015-12-07,Ikoyi,Pepperoni Suya,3000,5,08:03:15,Before 9:00am
104,2015-12-05,Surulere,Chicken Bali,2000,4,08:03:17,Before 9:00am
105,2015-12-09,Gbagada,Extravaganza,2000,4,08:03:18,Before 9:00am
106,2015-12-14,Ibadan,Veggie Supreme,3000,5,08:03:22,Before 9:00am
107,2015-12-11,Gbagada,Pepperoni Feast,4000,3,08:03:25,Before 9:00am
108,2015-12-08,Gbagada,Chicken Suya,4000,5,08:03:26,Before 9:00am
109,2015-12-12,Surulere,Italiano,3000,1,08:03:27,Before 9:00am
110,2015-12-05,Ikoyi,Margarita,4000,4,08:03:28,Before 9:00am
111,2015-12-07,Surulere,Chicken Suya,4000,5,08:03:29,Before 9:00am
112,2015-12-09,Ibadan,Meatzaa,2000,4,08:03:29,Before 9:00am
113,2015-12-03,Lekki,Veggie Supreme,3000,2,08:03:31,Before 9:00am
114,2015-12-05,Ikoyi,Chicken Bali,2000,3,08:03:32,Before 9:00am
115,2015-12-09,Gbagada,Italiano,3000,3,08:03:32,Before 9:00am
116,2015-12-06,Lekki,Hot Pepperoni Feast,4000,4,08:03:32,Before 9:00am
117,2015-12-10,Surulere,Pepperoni Suya,3000,4,08:03:33,Before 9:00am
118,2015-12-03,Ibadan,Beef Suya,3000,3,08:03:36,Before 9:00am
119,2015-12-07,Lekki,Veggie Supreme,3000,5,08:03:39,Before 9:00am
120,2015-12-13,Surulere,Italiano,3000,4,08:03:44,Before 9:00am
121,2015-12-07,Ibadan,Hot Pepperoni Feast,4000,2,08:03:44,Before 9:00am
122,2015-12-10,Gbagada,Chicken Suya,4000,2,08:03:52,Before 9:00am
123,2015-12-12,Lekki,Veggie Supreme,3000,4,08:03:53,Before 9:00am
124,2015-12-03,Ibadan,Meatzaa,2000,4,08:03:54,Before 9:00am
125,2015-12-03,Ibadan,Hot Veggie,4000,5,08:03:54,Before 9:00am
126,2015-12-13,Ikoyi,BBQ Philly Steak,4000,4,08:03:54,Before 9:00am
127,2015-12-11,Ikoyi,Beef Suya,3000,1,08:03:57,Before 9:00am
128,2015-12-08,Lekki,Veggie Supreme,3000,3,08:04:00,Before 9:00am
129,2015-12-12,Lekki,Hot Veggie,4000,2,08:04:01,Before 9:00am
130,2015-12-10,Gbagada,Margarita,4000,4,08:04:04,Before 9:00am
131,2015-12-10,Ibadan,Chicken Legend,2000,1,08:04:07,Before 9:00am
132,2015-12-06,Gbagada,Veggie Supreme,3000,1,08:04:13,Before 9:00am
